boolean ,tf,tfdf,embedding,sentence_embeddings,score
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.48711870403551694,0.5453356217974119,0.5356574802404434,0.5250480160342924,0.19963042579845272,0
0.7002947875605051,0.818559461157039,0.8408121081354873,0.48307844003041583,0.3061595658461253,0
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.47826087915999566,0.4953287661988594,0.4940611697515956,0.5604342701672403,0.1308361659768572,1
0.6067689774534043,0.676710696794431,0.6888637598981017,0.5034044517411126,0.2217863289018472,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.285424455937585,0.6264668183842677,0.6940205350064705,0.1823682188987732,-0.018089569872245193,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.4626931626912881,0.5440370419405459,0.5546524032908843,0.5587491913853834,0.1801319979413165,1
0.6107554542657334,0.7933744206185683,0.8100335280230335,0.8464124351739883,0.550547830760479,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.5076826628796509,0.5426526669171321,0.5515706851810595,0.5907202669315867,0.1618035298536451,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.5280120787165498,0.6330743048500269,0.6289208086535676,0.5665103298922379,0.22561576922889798,1
0.0,0.0,0.0,0.0,0.0,1
0.5882885348475895,0.6143145403784861,0.604288006695433,0.611850848964726,0.28723009505774827,1
0.0,0.0,0.0,0.0,0.0,1
